UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Karsten Be,@crizcgn,2020-04-07T16:52:52.000Z,"Offener Brief an die #COVID19 #Verschwörungstheoretiker, verfasst vom 
@AnkerherzVerlag
. 

PS Dass die Regierung alles dicht macht um heimlich Horden an Killer-#Flüchtlinge einzuschleusen ist auch ... Warum tun Internet Kommentatoren sowas ???  ",,🥺,,,1,['https://pbs.twimg.com/media/EVBAgE7XsAIuw8b?format=jpg&name=medium'],https://twitter.com/crizcgn/status/1247568035113730049
Oliver Stolz,@Stolz_Ohligs,2020-04-07T19:36:02.000Z,"#Fußball ist ein großer gemeinsamer Nenner unserer Gesellschaft, manchmal sogar eine Art Kitt. Für viele Menschen ist das wichtiger denn je, die können nicht ohne. Vielleicht ein leiser Grund, nicht sofort kategorisch alles abzulehnen. #Bundesliga #corona #COVID19 #coronavirus ",,⚓ 🦠,,,,[],https://twitter.com/Stolz_Ohligs/status/1247609095923871747
Franz-Josef Baldus,@snackcontent_de,2020-04-07T17:51:23.000Z,Auf den Punkt gebracht  #Trump und #Covid19,"Jake Maccoby
@jdmaccoby
 · 3. Apr. 2020
[Donald Trump, Titanic captain]

1. There is no iceberg 
2. We won’t hit the iceberg
3. We barely touched the iceberg
4. Nobody could’ve seen the iceberg 
5. These deaths mean my plan worked
6. I’m the best captain ever",👍,,,,['https://pbs.twimg.com/profile_images/1014170796577775616/j1ZuAkPd_mini.jpg'],https://twitter.com/snackcontent_de/status/1247582760006541314
Kerstin Bücker,@KerstinBucker,2020-04-07T05:41:04.000Z,Home can be the most dangerous place for women and girls. Let‘s join forces facing the #COVID19 crisis to protect them and #EndViolence! #ForEveryChild,"United Nations SRSG on Violence against Children
@UN_EndViolence
 · 6. Apr. 2020
During this #COVID19 crisis many women and girls around the world are experiencing violence within their circle of trust.

I join the appeal of the @UN SG @antonioguterres for an end to violence everywhere now, including at home where women and girls should be safest. twitter.com/antonioguterre…",,,1,3,['https://pbs.twimg.com/profile_images/1135552470686588928/tPmJg-fK_mini.jpg'],https://twitter.com/KerstinBucker/status/1247398967786254342
Laura Petrescu,@laura_petrescu,2020-04-07T06:17:51.000Z,"""Hmm, what will I do today with this newly found spare time?"" #lockdowneffect #COVID19",,,,,,['https://pbs.twimg.com/media/EU-vKNgXkAAW4z2?format=jpg&name=small'],https://twitter.com/laura_petrescu/status/1247408224841629697
Roni Shekhmous روني شيخموس,@RoniShekhmos,2020-04-07T18:35:03.000Z,#كورونا #COVID19 ,,😂,1,,2,['https://pbs.twimg.com/media/EVBX5xCX0AA2nlF?format=jpg&name=small'],https://twitter.com/RoniShekhmos/status/1247593749036793860
Emek Ersoysal,@EmekErsoysal,2020-04-07T12:43:48.000Z,"#Karakovan #COVID19 #COVID2019de #CoronaVirusDE
Virüs savar doğal ürünümüzü almanin tam zamani ",,🤗,,,,['https://pbs.twimg.com/media/EVAHf3lWkAArHRa?format=jpg&name=900x900'],https://twitter.com/EmekErsoysal/status/1247505354176507905
Emek Ersoysal,@EmekErsoysal,2020-04-07T08:03:39.000Z,"Antep yöresinden acılı ve biber salçası ile domates salçası satışlarımız başlamıştır.
 Ürünlerimiz Antep yöresinden gelmektedir
Almanya dan tüm Avrupaya kargo gönderilir
Sipariş icin Telefon veyada DM den iletişim kurulabilinr
#Antep #COVID19 #Coronakrise #memleket #sipariş","0:12
108 Mal angezeigt",✅ 🚚 📱,,1,,['https://pbs.twimg.com/ext_tw_video_thumb/1247434829844688897/pu/img/UqGB-McV9PzAwd0w.jpg'],https://twitter.com/EmekErsoysal/status/1247434850547662849
Oliver Stolz,@Stolz_Ohligs,2020-04-08T18:53:02.000Z,"Die Forscher malen ein düsteres Bild. Eine schwere Rezession wird die deutsche #Wirtschaft in diesem Jahr heimsuchen. Die #Corona-#Pandemie wird die Einkommen der Bundesbürger durch #Kurzarbeit, wachsende Arbeitslosigkeit und ausbleibende Gewinne verringern. #Coronakrise #COVID19",,⚓,,,,[],https://twitter.com/Stolz_Ohligs/status/1247960662602588160
Franz-Josef Baldus,@snackcontent_de,2020-04-08T10:47:10.000Z,"Neben ihrem ausführlichen YouTube-Video jetzt noch ein kurzer, präziser 
@tagesthemen
 Kommentar vor Mai Thi Nguyen-Kim zu #Covid19","tagesthemen
@tagesthemen
 · 7. Apr. 2020
""Wir sind erst am Anfang einer langen Epidemie. Doch schon werden ungeduldige Stimmen laut, die einen schnelleren Ausweg durch #Herdenimmunität fordern. Klingt verlockend - doch die Idee ist faul"" - Die Debatte um die Herdenimmunität, dazu @maithi_nk. (red) #Corona",,,,1,"['https://pbs.twimg.com/profile_images/1396821726902763522/DUfWWclU_mini.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1247631846227079168/img/vGlTr-O-ZHx-hROU.jpg']",https://twitter.com/snackcontent_de/status/1247838390491451392
