,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
2020-09-19,gläubiger,corona,neuinfektion,bundesjustizministerin,zahl,ethikexperte,gesundheitsinformation,institutsleiter,leck,nczi
2020-09-20,zahl,corona,landesamt,geldstrafe,scheuer,stadt,inzidenz,süden,bezirk,durchschnitt
2020-09-21,achtsamkeit,herbstmonat,nürburgring,seibert,krisenstab,ambulanzen,neuerkrankung,platz,rennen,verwandte
2020-09-22,corona,lehrer,land,salzlösung,angestellt,laptops,generaldebatte,vollversammlung,arbeitnehmer,rede
2020-09-23,corona,akademie,ap,vorjahreszeitraum,einkommen,vergleich,maa,beförderungsentgelt,chefentwickler,einkommensbeihilfe
2020-09-24,hund,altstadt,geschehen,coronavirus,corona,ap,frühjahr,operation,maa,außenminister
2020-09-25,corona,karneval,million,gemeinde,fc,risikogebiet,einwohner,uno,infektionszahl,neuinfektion
2020-09-26,corona,tagesanstieg,neuinfektion,branche,zahl,park,dtv,feiernde,landkreistags,neuankömmling
2020-09-27,mediziner,corona,abstand,soldat,attest,flüchtlingslager,regionalregierung,sonntag,maskenpflicht,bezirk
2020-09-28,montagmittag,skiort,corona,coronaviren,quarantäne,reisend,infektion,insel,abwehrsystem,biotechfirma
2020-09-29,corona,apps,warn,raum,uno,neuverschuldung,generalsekretär,schiff,bord,schuld
2020-09-30,corona,teststation,gesundheitsminister,angehörige,abschottungsmaßnahmen,anschrift,cc,galopp,galopprennbahn,gastsstätte
2020-10-01,soldat,corona,reisewarnung,zahl,sprechen,pandemie,coronavirus,falschinformation,soldatinnen,infektion
2020-10-02,corona,frau,hauptstadt,coronavirus,präsident,bezirk,us,risikogebiet,pence,region
2020-10-03,aok,nierenschäden,student,fernunterricht,zahl,corona,erkrankung,bundeslehrerverbands,krankenkassen,wahlkampfchef
2020-10-04,corona,mekka,reed,rechtsanspruch,wollseifer,walter,arzt,präsident,coronavirus,papst
2020-10-05,corona,weidemark,schlachthof,schuldenkrise,pandemie,bier,stabschef,tönnies,us,dienstag
2020-10-06,fernsehdebatte,warnhinweis,gehirn,wahlkampf,coronavirus,corona,inland,präsident,videobotschaft,post
2020-10-07,corona,striezelmarkt,konzentration,großstadt,information,luftreiniger,infektionszahl,aerosolen,show,urlauber
2020-10-08,corona,neuinfektion,sorge,zentralregierung,zahl,hotspot,hauptstadt,angabe,dlf,standort
